TurnItUpIntent turn it up
TurnItUpIntent im cold
TurnItUpIntent its cold in here
TurnItUpIntent its cold up in here
TurnItDownIntent turn it down
TurnItDownIntent im hot
TurnItDownIntent its hot in here
TurnItDownIntent its hot up in here
ResetIntent reset reset reset
SetTemperatureIntent set it to {sixty | Temperature}
SetTemperatureIntent set it to {sixty one | Temperature}
SetTemperatureIntent set it to {sixty two | Temperature}
SetTemperatureIntent set it to {sixty three | Temperature}
SetTemperatureIntent set it to {sixty four | Temperature}
SetTemperatureIntent set it to {sixty five | Temperature}
SetTemperatureIntent set it to {sixty six | Temperature}
SetTemperatureIntent set it to {sixty seven | Temperature}
SetTemperatureIntent set it to {sixty eight | Temperature}
SetTemperatureIntent set it to {sixty nine | Temperature}
SetTemperatureIntent set it to {seventy | Temperature}
SetTemperatureIntent set it to {seventy one | Temperature}
SetTemperatureIntent set it to {seventy two | Temperature}
SetTemperatureIntent set it to {seventy three | Temperature}
SetTemperatureIntent set it to {seventy four | Temperature}
SetTemperatureIntent set it to {seventy five | Temperature}
SetTemperatureIntent set it to {seventy six | Temperature}
SetTemperatureIntent set it to {seventy seven | Temperature}
SetTemperatureIntent set it to {seventy eight | Temperature}
SetTemperatureIntent set it to {seventy nine | Temperature}
SetTemperatureIntent set it to {eighty | Temperature}
SetTemperatureIntent set it to {eighty one | Temperature}
SetTemperatureIntent set it to {eighty two | Temperature}
SetTemperatureIntent set it to {eighty three | Temperature}
SetTemperatureIntent set it to {eighty four | Temperature}
SetTemperatureIntent set it to {eighty five | Temperature}
SetTemperatureIntent set it to {eighty six | Temperature}
SetTemperatureIntent set it to {eighty seven | Temperature}
SetTemperatureIntent set it to {eighty eight | Temperature}
SetTemperatureIntent set it to {eighty nine | Temperature}
EnterPinIntent my pin is {zero | PinOne} {zero | PinTwo} {zero | PinThree} {zero | PinFour} {zero | PinFive} {zero | PinSix} {zero | PinSeven} {zero | PinEight}
EnterPinIntent my pin is {one | PinOne} {one | PinTwo} {one | PinThree} {one | PinFour} {one | PinFive} {one | PinSix} {one | PinSeven} {one | PinEight}
EnterPinIntent my pin is {two | PinOne} {two | PinTwo} {two | PinThree} {two | PinFour} {two | PinFive} {two | PinSix} {two | PinSeven} {two | PinEight}
EnterPinIntent my pin is {three | PinOne} {three | PinTwo} {three | PinThree} {three | PinFour} {three | PinFive} {three | PinSix} {three | PinSeven} {three | PinEight}
EnterPinIntent my pin is {four | PinOne} {four | PinTwo} {four | PinThree} {four | PinFour} {four | PinFive} {four | PinSix} {four | PinSeven} {four | PinEight}
EnterPinIntent my pin is {five | PinOne} {five | PinTwo} {five | PinThree} {five | PinFour} {five | PinFive} {five | PinSix} {five | PinSeven} {five | PinEight}
EnterPinIntent my pin is {six | PinOne} {six | PinTwo} {six | PinThree} {six | PinFour} {six | PinFive} {six | PinSix} {six | PinSeven} {six | PinEight}
EnterPinIntent my pin is {seven | PinOne} {seven | PinTwo} {seven | PinThree} {seven | PinFour} {seven | PinFive} {seven | PinSix} {seven | PinSeven} {seven | PinEight}
EnterPinIntent my pin is {eight | PinOne} {eight | PinTwo} {eight | PinThree} {eight | PinFour} {eight | PinFive} {eight | PinSix} {eight | PinSeven} {eight | PinEight}
EnterPinIntent my pin is {nine | PinOne} {nine | PinTwo} {nine | PinThree} {nine | PinFour} {nine | PinFive} {nine | PinSix} {nine | PinSeven} {nine | PinEight}
EnterPinIntent my pin is {a. | PinOne} {a. | PinTwo} {a. | PinThree} {a. | PinFour} {a. | PinFive} {a. | PinSix} {a. | PinSeven} {a. | PinEight}
EnterPinIntent my pin is {b. | PinOne} {b. | PinTwo} {b. | PinThree} {b. | PinFour} {b. | PinFive} {b. | PinSix} {b. | PinSeven} {b. | PinEight}
EnterPinIntent my pin is {c. | PinOne} {c. | PinTwo} {c. | PinThree} {c. | PinFour} {c. | PinFive} {c. | PinSix} {c. | PinSeven} {c. | PinEight}
EnterPinIntent my pin is {d. | PinOne} {d. | PinTwo} {d. | PinThree} {d. | PinFour} {d. | PinFive} {d. | PinSix} {d. | PinSeven} {d. | PinEight}
EnterPinIntent my pin is {e. | PinOne} {e. | PinTwo} {e. | PinThree} {e. | PinFour} {e. | PinFive} {e. | PinSix} {e. | PinSeven} {e. | PinEight}
EnterPinIntent my pin is {f. | PinOne} {f. | PinTwo} {f. | PinThree} {f. | PinFour} {f. | PinFive} {f. | PinSix} {f. | PinSeven} {f. | PinEight}
EnterPinIntent my pin is {g. | PinOne} {g. | PinTwo} {g. | PinThree} {g. | PinFour} {g. | PinFive} {g. | PinSix} {g. | PinSeven} {g. | PinEight}
EnterPinIntent my pin is {h. | PinOne} {h. | PinTwo} {h. | PinThree} {h. | PinFour} {h. | PinFive} {h. | PinSix} {h. | PinSeven} {h. | PinEight}
